pmid,titre,abstract,annee,journal,requete,abstract_length,abstract_words
36606567,Understanding the differential effect of local socio-economic conditions on the relation between prescription opioid supply and drug overdose deaths in US counties.,"Both local socio-economic conditions and prescription opioid supply are associated with drug overdose deaths, which exhibit substantial geographical heterogeneity across the United States. We measured whether the associations of prescription opioid supply with drug overdose deaths vary by local socio-economic conditions. Ecological county-level study, including 3109 US counties between 2006 and 2019 (n 43 526 county-years) using annual mortality data. United States. A total of 711 447 drug overdose deaths. We modeled overdose counts using Bayesian hierarchical Poisson models, estimating associations between four types of drug overdose deaths (deaths involving any drugs, any opioid, prescription opioids only and heroin), prescription opioid supply and five socio-economic indicators: unemployment, poverty rate, income inequality, Rey index (components include mean household income, high school graduates, blue-collar workers and unemployment rate), and American human development index (HDI; an indicator of community wellbeing). Drug overdose deaths and all substance-specific overdose deaths were higher in counties with higher income inequality adjusted odds ratios (aORs) 1.09-1.13 , Rey index (aORs 1.15-1.21) and prescription opioid supply (aORs 1.14-1.21), and lower in counties with higher HDI scores (aORs 0.75-0.92). Poverty rate, income inequality and HDI scores were found to modify the effect of prescription opioid supply on heroin overdose deaths. The plot of the interactions showed that when disadvantage is high, increasing prescription opioid supply does not increase heroin overdose deaths. The less disadvantage there is, indicated by lower poverty rates, higher HDI scores and lower income inequality, the greater the effect of increasing prescription opioid supply relative to population size on heroin overdose deaths in US counties. In the United States, prescription opioid supply is associated with higher drug overdose deaths; associations are stronger in counties with less disadvantage and less income inequality, but only for heroin overdose deaths.",2023,"Addiction (Abingdon, England)",graduates_unemployment_mental_health,2091,290
36197198,COVID-19-related conspiracy beliefs and their determinants among 18 to 45 years old: A cross-sectional study.,"The existence of conspiracy beliefs has been previously linked to multiple individual traits and factors, such as anxiety, lack of information, education, and social factors. This study aims to explore the factors and variables influencing the individual s susceptibility to conspiratorial thinking, as well as the impact of COVID-19 conspiracy belief on the adoption of public health and social measures. This study explores the factors influencing the susceptibility to conspiratorial thinking and the impact of conspiracy theories on the adoption of public health and social measures. A sample of university students, fresh-graduates, and mid-career professionals between the age of 18 to 45 years old completed an online survey measuring COVID-19 conspiracy beliefs and stress levels. A total of 2417 completed a survey targeting COVID-19 conspiracy beliefs, perceived stress, and demographic information. The results show that COVID-19 conspiracy beliefs were related to education, unemployment, and COVID-19 level of exposure. Meanwhile, conspiracy beliefs had no relation to the individual s perceived self-reported stress. Higher conspiracy scores were related to lower adoption of preventive measures and increased hesitancy towards COVID-19 vaccination. Lack of knowledge and misinformation actions play a vital role in the generation of conspiracy theories surrounding the COVID-19 pandemic.",2022,Medicine,graduates_unemployment_mental_health,1402,198
35502350,Exploring the Employment Quality Evaluation Model of Application-Oriented University Graduates by Deep Learning.,"In view of the employment difficulties of college graduates, this paper analyzes the overflow of graduates in a particular period caused by the expansion of enrollment in various colleges and universities and the social phenomenon of social positions in short supply. First, the employment status of application-oriented college students and the deficiencies of employment guidance courses are summarized. Then, deep learning technology is combined with the relevant employment concept to construct an employment training model to guide college students in employment. Besides, a questionnaire on learning effect and employment quality is designed from four perspectives: learning motivation, concentration, teaching process, and final results. The information collected through the questionnaire demonstrates that the employment quality and learning effect of male and female students are not significantly affected by gender differences. In addition, the P values of learning motivation, concentration, and teaching process are all less than 0.01, and the unstandardized coefficient of the teaching process is 0.349, which has the most significant impact on the learning effect. In short, the three factors positively affect the learning effect. Therefore, it comes to the conclusion of improving the ability and strategy of classroom employment guidance. If one wants to be successful in job hunting and career selection, it is not enough just to be competitive but also to be good at it. Being good at the competition is reflected in having good psychological quality, strength, and a good competitive state. In the job hunting and career selection competition, attention should be paid to whether the expected value is appropriate. College students should have sufficient self-awareness before preparing to submit resumes. During the interview, they should overcome emotional anxiety. If a person can treat study, work, and life in a good mood from beginning to end, he will win the competition. The research reported here can provide some reference suggestions for the employment quality of application-oriented college graduates.",2022,Computational intelligence and neuroscience,graduates_unemployment_mental_health,2136,314
34616355,"Well-Being of Ambulatory Adults With Cerebral Palsy: Education, Employment, and Physical Function of a Cohort Who Received Specialized Pediatric Care.","Introduction: The transition from pediatric health care and school systems presents enormous challenges for young adults with cerebral palsy (CP). The lack of strong societal support during this seminal life event is well-documented and leads many adults with CP to struggle with independence, higher education, and employment. Despite the relatively high prevalence of CP, information about the experiences and function of adults with CP in our society continues to be limited. The purpose of this project was to describe well-being by assessing education, employment, physical function, walking activity, and utilization of health care in an ambulatory adult cohort with CP who received specialized pediatric care at our center. Method: In this Institutional Review Board-approved prospective study, we invited former patients from our tertiary care pediatric CP center to complete a set of patient-reported outcomes including (1) the Patient-Reported Outcomes Measurement Information System domains of physical function and pain interference, (2) the Satisfaction with Life Scale, and a project-specific demographic questionnaire about education, employment, income, independence, pain, and health care utilization. Participants also wore a pedometer for 8 days to monitor community walking activity. Chi-squared pairwise or t -tests were used as appropriate to compare survey responses and walking activity data between three groups: participants who self-reported, those who reported by proxy, and published normative data from age-matched typically developing adult (TDA) samples. Results: One hundred twenty-six adults with CP consented to participate; 85 self-reported age 29.7 4.3 years; Gross Motor Function Classification System: I (28 ), II (47 ), and III, (25 ) and 41 reported by proxy age 29.7 4.1 years; Gross Motor Function Classification System: I (10 ), II (68 ), and III (22 ) . For the group who self-reported, high school graduation rate (99 ) was similar to TDA (92 ; p 0.0173) but bachelor s degree achievement rate (55 ) was higher than TDA (37 ; p p p p p Discussion: This cohort of adults with CP had similar levels of education as the general population, but had relatively high rates of unemployment, caretaker need, and Social Security Disability Insurance utilization. Although chronic pain was frequent, the impact of pain on work and independent living did not exceed reports from a typically developing reference. Better targeted societal resources for adults with physical disabilities are urgently needed to allow equitable access to employment, promote opportunities for independence, and enable full participation in community life.",2021,Frontiers in neurology,graduates_unemployment_mental_health,2670,399
33570871,Attracting New Talent to the Governmental Public Health Workforce: Strategies for Improved Recruitment of Public Health Graduates.,"Governmental public health (GPH) agencies need a diverse, skilled, and motivated workforce to advance health and well-being, but they face a number of recruitment challenges. While there has been massive growth in public health degree programs and graduates, those with a degree in public health are underrepresented in the GPH workforce. This study evaluates potential reasons undergraduate and graduate public health degree holders are underrepresented in the GPH workforce, assesses student awareness of and interest in GPH jobs, and identifies strategies for improved recruitment. We conducted pilot focus groups to explore public health students interest in working for GPH agencies, obstacles to employment, and how this career path could be better promoted. Eight focus groups were conducted with a total of 33 participants at 3 universities and at the Annual Meeting of the American Public Health Association. Participants were enrolled full-time in or graduated within the last year from a public health bachelor s degree program or a public health master s degree program. Undergraduates had declared a public health major and were in their senior year; graduate students were in their second year and actively job seeking; or participants graduated within the past 12 months. The focus groups sought to capture students perspectives of GPH agencies and how they believe recruitment can be improved. Participants described attractive job attributes including fulfilling, meaningful work; a position at a mission-driven organization; and the opportunity to make an impact on their community. Governmental public health agencies were viewed as bureaucratic, lacking innovation, and underresourced. Participants reported difficulties accessing and finding relevant job postings. Key to effectively recruiting and retaining new graduates is understanding their perceptions about experiences with GPH agencies. While GPH jobs have desired attributes, participants reported that health departments are not effectively recruiting them.",Unknown,Journal of public health management and practice : JPHMP,graduates_unemployment_mental_health,2038,294
33514830,Effects of sagging breasts and other risk factors associated with mastalgia: a case-control study.,"The aim of this study is to compare patients with and without mastalgia and to analyze the factors affecting mastalgia and its severity. The patient s age, height, weight, educational status, marital status, and occupation were recorded in all subjects. In addition, the women were asked about the presence of any risk factors for mastalgia, such as tea and coffee consumption, smoking, alcohol consumption, and weight gain. The sternal notch to nipple distance (SNND) was measured to determine whether there was breast sagging. Mastalgia was significantly more common in women with BMIs of 30 kg m 2 (OR: 2.94, CI 1.65-5.24), those who were primary school graduates or illiterate (OR: 2.96, CI 1.6-5.46), and those with SNND values of 22-25 cm (OR: 2.94, CI 1.79-4.82). In these women, drinking more than 6 cups of tea a day (OR: 2.15, CI 1.32-3.5), smoking at least 10 cigarettes a day (OR: 2.94, CI 1.78-4.83), and drinking alcohol at least once a week (OR: 2.1, CI 1.12-3.91) were found to be important factors that increased the risk of mastalgia. As a result, it has been found that severe mastalgia complaints cause by obesity, sagging breasts, never giving birth, unemployment anxiety, regular smoking, alcohol use, and excessive tea consumption.",2021,Scientific reports,graduates_unemployment_mental_health,1254,205
33359536,Effects of graduating during economic downturns on mental health.,"This study examined the effects of economic downturns at the time of graduation on short-term and long-term mental health of graduates. Using a large longitudinal dataset whose respondents graduated from their highest level of education between 2001 and 2018 in Australia, the study investigated the effects of initial labor market conditions on psychological distress measures, quality-of-life mental health scales, and diagnoses of depression or anxiety since graduation. Evidence suggests the presence of a scarring effect of graduating during a recession on the mental health of young adults, particularly significant and persistent for men. Higher unemployment rates at graduation were associated with increased risks of high psychological distress and diagnoses of depression or anxiety, and lower levels of social functioning and mental well-being among men lasting over a decade. The psychological effect was largely driven by young adults with vocational or secondary qualifications or receiving no government allowance at graduation. Policies should consider the psychological effect of graduating during recessions and focus particularly on vulnerable groups who are susceptible to adverse labor market conditions, such as graduates who are in cyclically sensitive occupations and have less or no work benefits and social protection.",2021,Annals of epidemiology,graduates_unemployment_mental_health,1344,192
33192751,Novel Coronavirus Outbreak and Career Development: A Narrative Approach Into the Meaning for Italian University Graduates.,"In times of economic crisis, the literature shows that young people have always been in the high-risk category. The COVID-19 outbreak and the consequence on the economic level have increased the sense of uncertainty and precariousness experienced by young people. The current scenario has forced young people at the school-to-work transition point to re-think their career plans. Although the difficulties of the school-to-work transition already lead to distress and mental health problems in young people, the slowdown imposed by the coronavirus could add up to these difficulties. The present study aimed to explore the process of career development and career planning in the coronavirus era. Twenty Italian university graduates were involved. A quantitative measure was used to evaluate the affective (positive negative) experience. A narrative prompt was used to understand the individual dimensions of career planning. Cluster analysis was carried out by an unsupervised ascendant hierarchical method to explore the themes of the narration. Italian young adults have tended to experience negative affects in the recent weeks of quarantine. The themes highlighted in the narratives showed that Italian young adults experience feelings of fear, uncertainty, and anxiety about the post-pandemic future. The results appear as a starting point to re-think possible interventions for this group post-lockdown and post-pandemic.",2020,Frontiers in psychology,graduates_unemployment_mental_health,1428,208
32791351,"Financial threat, hardship and distress predict depression, anxiety and stress among the unemployed youths: A Bangladeshi multi-city study.","Unemployment has a contributory role in the development of mental health problems and in Bangladesh there is increasing unemployment, particularly among youth. Consequently, the present study investigated depression, anxiety, and stress among recent graduates in a multi-city study across the country. A cross-sectional study was conducted among 988 Bangladeshi graduate jobseekers in six major cities of the country between August to November 2019. The measures included socio-demographics and life-style factors, study and job-related information, Economic Hardship Questionnaire, Financial Threat Scale, Financial Well-Being Scale, and Depression Anxiety Stress Scale-21. Depression, anxiety and stress rates among the present sample were 81.1 (n 801), 61.5 (n 608) and 64.8 (n 640) respectively. Factors related to gender, age, socioeconomic conditions, educational background, lack of extra-curricular activities, and high screen activity were significant risk factors of depression, anxiety, and stress. Structural equation modeling indicated that (while controlling for age, daily time spent on sleep study, and social media use), financial threat was moderately positively related to depression, anxiety, and stress. Financial hardship was weakly positively associated with depression, anxiety, and stress, whereas financial wellbeing was weakly negatively associated with depression, anxiety, and stress. Due to the nature of the present study (i.e., cross-sectional study) and sampling method (i.e., convenience sampling), determining causality between the variables is not possible. The present results emphasized the important detrimental role of financial troubles on young people s mental health by showing that financial problems among unemployed youth predict elevated psychiatric distress in both men and women.",2020,Journal of affective disorders,graduates_unemployment_mental_health,1828,247
32399970,Social suffering and the psychological impact of structural violence and economic oppression in an ongoing conflict setting: The Gaza Strip.,"Structural violence and economic oppression (e.g. control over resources, politically engineered poverty and unemployment) are common features of warfare, yet there is a lack of research exploring the impact this has on civilian wellbeing in conflict-affected areas. This study, embedded within a human rights and community liberation psychology framework, aims to address this need by studying young Palestinian university graduates living under military blockade and occupation in the Gaza Strip. Semi-structured interviews were conducted. Thematic analysis indicated that economic and political domains adversely affected multiple aspects of civilian life and wellbeing. The findings revealed the deleterious effects of structural violence and economic oppression which created: human insecurity; poor psychological wellbeing and quality of life; existential, psychological and social suffering; humiliation; injuries to dignity; multiple losses; and led to life being experienced as on hold . Local expressions and idioms to express distress were identified. The findings contributed to unique insights regarding how continual, systemic, and structural oppression can be potentially more psychologically detrimental than specific incidents of conflict and violence. The implications and the relevance of the findings to mental health and disaster relief are considered. Interventions providing human security and economic security should be prioritised.",2020,Journal of community psychology,graduates_unemployment_mental_health,1457,196
31456705,Psychological Implications of Unemployment Among Bangladesh Civil Service Job Seekers: A Pilot Study.,"Background: Recent trends suggest that university graduates seeking jobs are more susceptible to common mental disorders, such as depression, anxiety, or stress. However, the mental health issues among unemployed graduates has not been explored in Bangladesh yet. Aims: This study aimed to assess for the first time the prevalence and associated risk factors of depression, anxiety, and stress among Bangladesh Civil Service (BCS) job seekers. Three hundred four graduates residing in Rajshahi, Bangladesh, who were preparing to attend the 40 th BCS examination, the most sought-after employment opportunity in the country, were surveyed. Methods: Measures included socio-demographics, field of study, and career-related variables, and the Bangla Depression Anxiety Stress Scale (DASS-21). Chi-square test, Fisher exact test, and binary logistic regression with depression, anxiety, and stress as the dependent variables were carried out to identify the factors associated with these. Results: Overall, the prevalence of moderate to extremely severe depression, anxiety, and stress was 49.3 , 53.6 , and 28.3 , respectively, with no detectable differences between genders. Insecurity related to a BCS job (OR 0.41; CI 0.26-0.65, p p p p 0.003), and security in a BCS job and serving the nation through this job were negatively associated with stress (OR 0.59; CI 0.35-0.98, p 0.042 vs. OR 0.59; CI 0.36-1.00, p 0.05). Conclusion: The relatively high rates of depression, anxiety, and stress among graduate job seekers should prompt implementation of market force initiatives that incorporate interventions related to the major risk factors uncovered herein.",2019,Frontiers in psychiatry,graduates_unemployment_mental_health,1657,245
31123807,"Temporary employment, work stress and mental health before and after the Spanish economic recession.","This paper analyses the effects of temporary employment on work stress and mental health before (2006 2007) and during the economic recession (2011 2012), and examines whether the economic recession worsened these two health outcomes. To control for selection bias, propensity scores (PS) are computed separately for salaried men and women using microdata from two cross-sectional health surveys in Spain, considering temporary (treatment group) versus permanent employment (control group). Next, we use difference-in-difference estimators stratifying by age, education level, and regional unemployment differences using PS as weights. Our results indicate that salaried worker with a temporary labour contract tends to have similar levels of high work stress and poorer mental health (only for men) than permanent ones for both periods. The economic recession does not appear to worsen both outcomes. However, when stratifying the sample, the economic recession is responsible for increasing stress among older temporary workers and male university graduates, without affecting women. Regarding mental health, we only find evidence of a negative impact of the economic recession on male temporary workers with university education. The economic recession has not affected poor mental health, but it has accentuated the adverse effects of work stress among some specific subgroups of male workers. These subgroups require specific preventive and support actions as the Spanish firms have not substantially changed their hiring practices after the recession.",2019,International archives of occupational and environmental health,graduates_unemployment_mental_health,1557,224
